Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age,Aircraft  Manufacturer,Aircraft Model
Virgin America,Virgin America,Airbus A320,53,12,261,53,30,98,5194,6.3,Airbus,A320
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A320,565,12,6,6,137,98,0,18,Airbus,A320
Virgin Australia,Virgin Australia Regional,Airbus A320,2,12,261,2,137,98,196,18.8,Airbus,A320
Virgin Australia,Tigerair Australia,Airbus A320,14,12,261,14,137,98,1372,7.2,Airbus,A320
Volaris,Volaris,Airbus A320,44,3,1,48,42,98,4312,3.3,Airbus,A320
Wizz Air,Wizz Air,Airbus A320,63,12,9,72,8,98,6174,5.1,Airbus,A320
LATAM Airlines Chile,LATAM Airlines Peru,Airbus A320-200,14,12,261,54,137,98,1372,18,Airbus,A320-200
Aegean Airlines,Aegean Airlines,Airbus A321,8,12,261,8,137,115,919,10.3,Airbus,A321
Aeroflot,Aeroflot,Airbus A321,31,12,8,39,9,115,3562,3.6,Airbus,A321
Air Astana,Air Astana,Airbus A321,4,12,261,4,8,115,460,10.6,Airbus,A321
Air Berlin,Air Berlin,Airbus A321,21,12,2,23,2,115,2413,6,Airbus,A321
Air Canada,Air Canada,Airbus A321,15,12,3,18,137,115,1724,13.7,Airbus,A321
Air Canada,Air Canada Rouge,Airbus A321,5,12,261,5,137,115,575,1,Airbus,A321
Air China,Air China,Airbus A321,55,3,261,58,137,115,6320,5.3,Airbus,A321
Air China,Air Macau (66.9%),Airbus A321,10,12,5,15,137,115,1149,6.1,Airbus,A321
Air France/KLM,Air France,Airbus A321,20,12,10,30,137,115,2298,14.1,Airbus,A321
Air India,Air India,Airbus A321,20,12,261,20,137,115,2298,8.1,Airbus,A321
Air New Zealand,Air New Zealand,Airbus A321,565,12,261,54,17,115,0,18,Airbus,A321
AirAsia,AirAsia,Airbus A321,565,12,261,54,100,115,0,18,Airbus,A321
Alitalia,Alitalia,Airbus A321,12,12,11,23,137,115,1379,19.4,Airbus,A321
All Nippon Airways,All Nippon Airways,Airbus A321,2,2,7,11,28,115,230,0.1,Airbus,A321
American Airlines,American Airlines,Airbus A321,197,12,261,209,122,115,22635,4.9,Airbus,A321
Asiana Airlines,Asiana Airlines,Airbus A321,23,12,17,40,27,115,2643,5.7,Airbus,A321
Asiana Airlines,Air Seoul,Airbus A321,3,12,261,3,137,115,345,3.8,Airbus,A321
Asiana Airlines,Air Busan,Airbus A321,12,12,261,12,137,115,1379,13.5,Airbus,A321
Avianca,Avianca,Airbus A321,9,12,261,9,6,115,1034,2.1,Airbus,A321
Avianca,Avianca El Salvador/TACA Airlines,Airbus A321,6,12,3,9,137,115,689,9.3,Airbus,A321
Cathay Pacific,Cathay Dragon,Airbus A321,8,12,261,8,137,115,919,14.2,Airbus,A321
Cebu Pacific Air,Cebu Pacific Air,Airbus A321,565,12,261,54,32,115,0,18,Airbus,A321
China Eastern Airlines,China Eastern Airlines,Airbus A321,64,3,261,67,2,115,7354,4.2,Airbus,A321
China Eastern Airlines,Shanghai Airlines,Airbus A321,565,12,4,4,137,115,0,18,Airbus,A321
China Southern Airlines,China Southern Airlines,Airbus A321,88,5,261,93,27,115,10111,6.5,Airbus,A321
Delta Airlines,Delta Airlines,Airbus A321,14,6,261,20,67,115,1609,0.4,Airbus,A321
easyJet,easyJet,Airbus A321,565,12,8,8,137,115,0,18,Airbus,A321
EgyptAir,EgyptAir,Airbus A321,4,12,261,4,137,115,460,19.4,Airbus,A321
EgyptAir,Air Cairo,Airbus A321,565,12,2,2,137,115,0,18,Airbus,A321
Etihad Airways,Etihad Airways,Airbus A321,10,12,261,10,15,115,1149,1.8,Airbus,A321
EVA Air,EVA Air,Airbus A321,22,12,2,24,137,115,2528,2,Airbus,A321
EVA Air,Uni Air,Airbus A321,2,12,261,2,137,115,230,2.7,Airbus,A321
Finnair,Finnair,Airbus A321,11,1,261,12,8,115,1264,10,Airbus,A321
Frontier Airlines,Frontier Airlines,Airbus A321,13,2,261,15,6,115,1494,0.7,Airbus,A321
Gulf Air,Gulf Air,Airbus A321,6,12,2,8,17,115,689,4.4,Airbus,A321
Hainan Airlines,Capital Airlines (70%),Airbus A321,11,12,261,11,137,115,1264,0.8,Airbus,A321
Hawaiian Airlines,Hawaiian Airlines,Airbus A321,565,12,261,54,18,115,0,18,Airbus,A321
IAG,British Airways,Airbus A321,18,12,261,18,10,115,2068,11.2,Airbus,A321
IAG,Iberia,Airbus A321,14,12,5,19,3,115,1609,13.3,Airbus,A321
IAG,Iberia Express,Airbus A321,3,12,261,3,1,115,345,11.7,Airbus,A321
IAG,Aer Lingus,Airbus A321,3,12,3,6,137,115,345,17.6,Airbus,A321
IAG,Vueling,Airbus A321,10,1,261,11,137,115,1149,1,Airbus,A321
IndiGo,IndiGo,Airbus A321,565,12,261,54,20,115,0,18,Airbus,A321
Interjet,Interjet,Airbus A321,3,12,261,3,10,115,345,0.2,Airbus,A321
Jet2,Jet2,Airbus A321,565,12,1,1,137,115,0,18,Airbus,A321
JetBlue,JetBlue Airways,Airbus A321,35,4,261,39,87,115,4022,1.6,Airbus,A321
Juneyao Airlines,Juneyao Airlines,Airbus A321,18,2,261,20,1,115,2068,1.4,Airbus,A321
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A321,31,12,261,31,20,115,3562,3.4,Airbus,A321
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A321,16,12,261,16,1,115,1838,1,Airbus,A321
Lufthansa,Lufthansa,Airbus A321,64,12,261,64,40,115,7354,12,Airbus,A321
Lufthansa,Austrian Airlines,Airbus A321,6,12,261,6,137,115,689,19.1,Airbus,A321
Lufthansa,Swiss International Airlines,Airbus A321,9,12,4,13,137,115,1034,14.5,Airbus,A321
Monarch Airlines,Monarch Airlines,Airbus A321,25,12,4,29,137,115,2873,11.8,Airbus,A321
Norwegian Air,Norwegian Air,Airbus A321,565,12,261,54,30,115,0,18,Airbus,A321
Pakistan International Airlines,Pakistan International Airlines,Airbus A321,565,12,2,2,137,115,0,18,Airbus,A321
Pegasus Airlines,Pegasus Airlines,Airbus A321,565,12,261,54,18,115,0,18,Airbus,A321
Philippine Airlines,Philippine Airlines,Airbus A321,24,12,261,24,30,115,2758,2,Airbus,A321
Qantas Airways,Jetstar Airways,Airbus A321,8,12,261,8,137,115,919,7.9,Airbus,A321
Qatar Airways,Qatar Airways,Airbus A321,8,3,4,15,16,115,919,9.6,Airbus,A321
Royal Air Maroc,Royal Air Maroc,Airbus A321,565,12,4,4,137,115,0,18,Airbus,A321
Royal Jordanian,Royal Jordanian,Airbus A321,2,12,6,8,137,115,230,4.6,Airbus,A321
S7 Airlines,S7 Airlines,Airbus A321,6,12,261,6,9,115,689,8.8,Airbus,A321
SAS Group,Scandinavian Airlines,Airbus A321,8,12,261,8,137,115,919,14.7,Airbus,A321
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A321,15,12,12,27,137,115,1724,4.9,Airbus,A321
Spirit Airlines,Spirit Airlines,Airbus A321,16,3,4,23,14,115,1838,2.1,Airbus,A321
TAP Portugal,TAP Portugal,Airbus A321,3,12,261,3,24,115,345,15.7,Airbus,A321
Thomas Cook Airlines,Condor,Airbus A321,7,12,1,8,137,115,804,4,Airbus,A321
Thomas Cook Airlines,Thomas Cook Airlines,Airbus A321,21,12,2,23,137,115,2413,6.9,Airbus,A321
Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A321,8,12,4,12,137,115,919,5,Airbus,A321
TUI Group,Thomson Airways,Airbus A321,565,12,2,2,137,115,0,18,Airbus,A321
Turkish Airlines,Turkish Airlines,Airbus A321,66,2,7,75,94,115,7583,4.6,Airbus,A321
Utair,Utair,Airbus A321,565,12,12,12,137,115,0,18,Airbus,A321
Vietnam Airlines,Vietnam Airlines,Airbus A321,56,12,5,61,12,115,6434,5.8,Airbus,A321
Vietnam Airlines,Cambodia Angkor Air,Airbus A321,2,12,4,6,137,115,230,7.9,Airbus,A321
Vietnam Airlines,Jetstar Pacific Airlines,Airbus A321,565,12,2,2,137,115,0,18,Airbus,A321
Virgin America,Virgin America,Airbus A321,565,12,261,54,10,115,0,18,Airbus,A321
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A321,565,12,1,1,137,115,0,18,Airbus,A321
Volaris,Volaris,Airbus A321,9,1,261,10,137,115,1034,0.6,Airbus,A321
Wizz Air,Wizz Air,Airbus A321,11,4,261,15,129,115,1264,0.6,Airbus,A321
Korean Air,Korean Air,Airbus A321neo,565,12,261,54,30,126,0,18,Airbus,A321neo
Aeroflot,Aeroflot,Airbus A330,22,12,261,22,137,240,5280,5.9,Airbus,A330
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9,1,261,10,137,240,2160,9.3,Airbus,A330
Air Algerie,Air Algerie,Airbus A330,8,12,4,12,137,240,1920,8.1,Airbus,A330
Air Berlin,Air Berlin,Airbus A330,15,2,3,20,2,240,3600,13.1,Airbus,A330
Air Canada,Air Canada,Airbus A330,8,12,261,8,137,240,1920,16.3,Airbus,A330
Air China,Air China,Airbus A330,54,1,261,55,12,240,12960,5.8,Airbus,A330
Air China,Shenzhen Airlines,Airbus A330,565,12,261,54,6,240,0,18,Airbus,A330
Air Europa,Air Europa,Airbus A330,15,12,2,17,137,240,3600,10.4,Airbus,A330
Air France/KLM,Air France,Airbus A330,15,12,1,16,137,240,3600,14.1,Airbus,A330
Air France/KLM,KLM,Airbus A330,13,12,4,17,137,240,3120,7.7,Airbus,A330
Air India,Air India,Airbus A330,565,12,2,2,137,240,0,18,Airbus,A330
Air Mauritius,Air Mauritius,Airbus A330,2,12,261,2,137,419,38425,8.3,Airbus,A330
Air Namibia,Air Namibia,Airbus A330,2,12,261,2,137,419,38425,3.4,Airbus,A330
Air Transat,Air Transat,Airbus A330,14,12,261,14,137,240,3360,15.8,Airbus,A330
AirAsia,AirAsia X,Airbus A330,22,12,8,30,66,240,5280,4,Airbus,A330
AirAsia,Thai AirAsia X,Airbus A330,6,12,261,6,137,240,1440,7.8,Airbus,A330
AirAsia,Indonesia AirAsia X,Airbus A330,2,12,261,2,137,240,480,11.4,Airbus,A330
Alitalia,Alitalia,Airbus A330,14,12,261,14,1,240,3360,7.6,Airbus,A330
American Airlines,American Airlines,Airbus A330,24,12,261,24,137,240,5760,9.3,Airbus,A330
Asiana Airlines,Asiana Airlines,Airbus A330,15,12,261,15,137,240,3600,7.3,Airbus,A330
Avianca,Avianca Brazil,Airbus A330,565,2,2,4,6,115,0,18,Airbus,A330
Avianca,Avianca,Airbus A330,8,12,4,12,137,240,1920,5.6,Airbus,A330
Avianca,Avianca Peru,Airbus A330,2,12,261,1,137,240,480,5,Airbus,A330
Avianca,Avianca El Salvador/TACA Airlines,Airbus A330,1,12,261,1,137,240,240,18,Airbus,A330
Avianca,Avianca Cargo Colombia,Airbus A330,6,12,261,6,137,240,1440,3.3,Airbus,A330
Azul,Azul,Airbus A330,5,12,2,7,137,240,1200,14.1,Airbus,A330
Cathay Pacific,Cathay Pacific,Airbus A330,42,12,13,55,137,240,10080,8.9,Airbus,A330
Cathay Pacific,Cathay Dragon,Airbus A330,19,12,261,19,7,240,4560,16.9,Airbus,A330
Cebu Pacific Air,Cebu Pacific Air,Airbus A330,6,1,261,7,1,240,1440,2.8,Airbus,A330
China Airlines,China Airlines,Airbus A330,24,12,2,26,137,240,5760,9,Airbus,A330
China Eastern Airlines,China Eastern Airlines,Airbus A330,45,12,6,51,137,240,10800,5.6,Airbus,A330
China Eastern Airlines,Shanghai Airlines,Airbus A330,6,12,261,6,137,240,1440,7,Airbus,A330
China Southern Airlines,China Southern Airlines,Airbus A330,38,1,261,39,13,240,9120,5.8,Airbus,A330
Delta Airlines,Delta Airlines,Airbus A330,40,2,261,42,27,240,9600,9.4,Airbus,A330
EgyptAir,EgyptAir,Airbus A330,11,12,261,11,137,240,2640,9.5,Airbus,A330
EgyptAir,EgyptAir Cargo,Airbus A330,565,12,261,54,2,240,0,18,Airbus,A330
Emirates,Emirates,Airbus A330,565,12,29,29,137,115,0,18,Airbus,A330
Etihad Airways,Etihad Airways,Airbus A330,30,1,11,42,6,240,7200,8.1,Airbus,A330
EVA Air,EVA Air,Airbus A330,10,2,6,18,4,240,2400,7.5,Airbus,A330
Finnair,Finnair,Airbus A330,8,12,261,8,137,240,1920,7.2,Airbus,A330
Garuda Indonesia,Garuda Indonesia,Airbus A330,24,12,30,54,14,240,5760,7.1,Airbus,A330
Gulf Air,Gulf Air,Airbus A330,6,12,6,12,137,240,1440,17.2,Airbus,A330
Hainan Airlines,Hainan Airlines,Airbus A330,22,12,6,28,1,240,5280,4.2,Airbus,A330
Hainan Airlines,Capital Airlines (70%),Airbus A330,4,4,261,8,3,240,960,7.5,Airbus,A330
Hawaiian Airlines,Hawaiian Airlines,Airbus A330,23,12,261,23,7,240,5520,3.7,Airbus,A330
IAG,Iberia,Airbus A330,17,3,261,20,3,240,4080,1.9,Airbus,A330
IAG,Aer Lingus,Airbus A330,10,12,5,15,2,240,2400,9.2,Airbus,A330
Jet Airways,Jet Airways,Airbus A330,11,12,5,16,137,240,2640,7,Airbus,A330
Korean Air,Korean Air,Airbus A330,29,12,1,30,11,240,6960,12,Airbus,A330
Lion Air,Lion Air,Airbus A330,3,12,261,3,137,240,720,1.1,Airbus,A330
Lion Air,Malindo Air,Airbus A330,565,12,261,54,1,240,0,18,Airbus,A330
Lufthansa,Austrian Airlines,Airbus A330,565,12,4,4,137,115,0,18,Airbus,A330
Lufthansa,Lufthansa,Airbus A330,19,12,5,24,137,240,4560,9.6,Airbus,A330
Lufthansa,Brussels Airlines,Airbus A330,9,1,261,10,1,240,2160,19.3,Airbus,A330
Lufthansa,Eurowings,Airbus A330,6,1,261,7,1,240,1440,12.7,Airbus,A330
Lufthansa,Swiss International Airlines,Airbus A330,14,12,15,29,137,240,3360,6.2,Airbus,A330
Lufthansa,Edelweiss Air,Airbus A330,2,12,2,4,137,240,480,3.4,Airbus,A330
Lufthansa,Brussels Airlines,Airbus A330,9,1,261,10,1,240,2160,19.3,Airbus,A330
Malaysia Airlines,Malaysia Airlines,Airbus A330,18,12,19,37,137,240,4320,4.6,Airbus,A330
Meridiana,Air Italy,Airbus A330,565,12,1,1,137,419,38425,18,Airbus,A330
Monarch Airlines,Monarch Airlines,Airbus A330,565,12,2,2,137,240,0,18,Airbus,A330
Oman Air,Oman Air,Airbus A330,10,12,2,12,137,240,2400,5.4,Airbus,A330
Pakistan International Airlines,Pakistan International Airlines,Airbus A330,1,12,261,1,2,240,240,1.9,Airbus,A330
Philippine Airlines,Philippine Airlines,Airbus A330,15,12,8,23,137,240,3600,2.8,Airbus,A330
Qantas Airways,Qantas Airways,Airbus A330,28,12,2,30,137,240,6720,10,Airbus,A330
Qantas Airways,Jetstar Airways,Airbus A330,565,12,11,11,137,240,0,18,Airbus,A330
Qatar Airways,Qatar Airways,Airbus A330,26,12,5,31,137,240,6240,11.3,Airbus,A330
Qatar Airways,Qatar Airways Cargo,Airbus A330,8,12,261,8,137,240,1920,2.5,Airbus,A330
Royal Jordanian,Royal Jordanian,Airbus A330,2,1,1,4,137,240,480,7.8,Airbus,A330
SAS Group,Scandinavian Airlines,Airbus A330,8,12,261,8,137,240,1920,7.5,Airbus,A330
SAS Group,Air Greenland,Airbus A330,1,12,261,1,137,240,240,18.3,Airbus,A330
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A330,28,5,12,45,14,240,6720,6.1,Airbus,A330
Singapore Airlines,Singapore Airlines,Airbus A330,26,12,8,34,137,240,6240,4.6,Airbus,A330
Skymark Airlines,Skymark Airlines,Airbus A330,565,12,5,5,137,240,0,18,Airbus,A330
South African Airways,South African Airways,Airbus A330,8,2,5,15,3,240,1920,4.2,Airbus,A330
SunExpress,SunExpress Deutschland,Airbus A330,6,12,261,54,1,240,1440,18,Airbus,A330
TAP Portugal,TAP Portugal,Airbus A330,16,12,261,16,20,240,3840,14.4,Airbus,A330
Thai Airways,Thai Airways,Airbus A330,17,12,10,27,137,240,4080,7.5,Airbus,A330
Thomas Cook Airlines,Thomas Cook Airlines,Airbus A330,7,1,4,12,137,240,1680,12.5,Airbus,A330
Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A330,4,12,261,4,137,240,960,16.6,Airbus,A330
Tianjin Airlines,Tianjin Airlines,Airbus A330,1,3,261,4,4,240,240,8.8,Airbus,A330
Tunisair,Tunisair,Airbus A330,2,12,261,2,137,240,480,1.7,Airbus,A330
Turkish Airlines,Turkish Airlines,Airbus A330,58,8,6,72,8,240,13920,5.3,Airbus,A330
Vietnam Airlines,Vietnam Airlines,Airbus A330,8,12,5,13,137,240,1920,9.6,Airbus,A330
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A330,10,12,261,10,137,240,2400,5.1,Airbus,A330
Virgin Australia,Virgin Australia,Airbus A330,6,12,2,8,137,240,1440,3.9,Airbus,A330
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5,12,8,13,137,216,1078,19.3,Airbus,A340
Air Algerie,Air Algerie,Airbus A340,565,12,3,3,137,216,0,18,Airbus,A340
Air Canada,Air Canada,Airbus A340,565,12,15,15,137,216,0,18,Airbus,A340
Air China,Air China,Airbus A340,565,12,6,6,137,216,0,18,Airbus,A340
Air Europa,Air Europa,Airbus A340,565,12,1,1,137,216,0,18,Airbus,A340
Air France/KLM,Air France,Airbus A340,11,12,19,30,137,216,2371,18.3,Airbus,A340
Air Mauritius,Air Mauritius,Airbus A340,6,12,3,9,137,419,38425,16.7,Airbus,A340
Air Namibia,Air Namibia,Airbus A340,565,12,2,2,137,419,38425,18,Airbus,A340
AirAsia,AirAsia X,Airbus A340,565,12,2,2,137,216,0,18,Airbus,A340
Cathay Pacific,Cathay Pacific,Airbus A340,4,12,21,25,137,216,862,19,Airbus,A340
China Airlines,China Airlines,Airbus A340,4,12,3,7,137,216,862,14.9,Airbus,A340
China Airlines,Mandarin Airlines (93.99%),Airbus A340,565,12,1,1,137,216,0,18,Airbus,A340
China Eastern Airlines,China Eastern Airlines,Airbus A340,565,12,10,10,137,216,0,18,Airbus,A340
EgyptAir,EgyptAir,Airbus A340,565,12,4,4,137,216,0,18,Airbus,A340
Emirates,Emirates,Airbus A340,565,12,18,18,137,216,0,18,Airbus,A340
Etihad Airways,Etihad Airways,Airbus A340,10,12,3,13,137,216,2156,9,Airbus,A340
Finnair,Finnair,Airbus A340,2,12,5,7,137,216,431,9,Airbus,A340
Garuda Indonesia,Garuda Indonesia,Airbus A340,565,12,3,3,137,216,0,18,Airbus,A340
Gulf Air,Gulf Air,Airbus A340,565,12,10,10,137,216,0,18,Airbus,A340
Hainan Airlines,Hainan Airlines,Airbus A340,565,12,3,3,137,216,0,18,Airbus,A340
IAG,Iberia,Airbus A340,17,12,22,39,137,216,3664,10.7,Airbus,A340
Jet Airways,Jet Airways,Airbus A340,565,12,3,3,137,216,0,18,Airbus,A340
Lufthansa,Austrian Airlines,Airbus A340,565,12,4,4,137,216,0,18,Airbus,A340
Lufthansa,Lufthansa,Airbus A340,42,12,20,62,137,216,9053,13.5,Airbus,A340
Lufthansa,Swiss International Airlines,Airbus A340,10,12,5,15,137,216,2156,14.5,Airbus,A340
Lufthansa,Edelweiss Air,Airbus A340,1,2,261,3,3,216,216,13.1,Airbus,A340
Lufthansa,Lufthansa CityLine,Airbus A340,5,12,261,54,137,216,1078,18,Airbus,A340
Norwegian Air,Norwegian Air,Airbus A340,565,12,2,2,137,216,0,18,Airbus,A340
Philippine Airlines,Philippine Airlines,Airbus A340,6,12,12,18,137,216,1293,16,Airbus,A340
Qatar Airways,Qatar Airways,Airbus A340,4,12,261,4,137,216,862,10.4,Airbus,A340
Royal Jordanian,Royal Jordanian,Airbus A340,565,12,4,4,137,216,0,18,Airbus,A340
SAS Group,Scandinavian Airlines,Airbus A340,8,12,261,8,137,216,1724,15.7,Airbus,A340
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A340,565,12,4,4,137,216,0,18,Airbus,A340
Singapore Airlines,Singapore Airlines,Airbus A340,565,12,22,22,137,216,0,18,Airbus,A340
South African Airways,South African Airways,Airbus A340,17,12,6,23,137,216,3664,13.4,Airbus,A340
TAP Portugal,TAP Portugal,Airbus A340,4,12,261,4,137,216,862,21.9,Airbus,A340
Thai Airways,Thai Airways,Airbus A340,565,12,10,10,137,216,0,18,Airbus,A340
Turkish Airlines,Turkish Airlines,Airbus A340,4,12,5,9,137,216,862,18.6,Airbus,A340
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A340,8,12,21,29,137,216,1724,10.5,Airbus,A340
Aeroflot,Aeroflot,Airbus A350,565,12,261,54,22,312,0,18,Airbus,A350
Air France/KLM,KLM,Airbus A350,565,12,261,54,7,312,0,18,Airbus,A350
AirAsia,AirAsia X,Airbus A350,565,12,261,54,10,312,0,18,Airbus,A350
Asiana Airlines,Asiana Airlines,Airbus A350,565,1,261,1,30,312,0,18,Airbus,A350
Avianca,Avianca,Airbus A350,565,12,261,54,10,312,0,18,Airbus,A350
Avianca,Avianca Brazil,Airbus A350,565,12,261,54,10,312,0,18,Airbus,A350
China Eastern Airlines,China Eastern Airlines,Airbus A350,565,12,261,54,20,312,0,18,Airbus,A350
IAG,British Airways,Airbus A350,565,12,261,54,18,312,0,18,Airbus,A350
IAG,Iberia,Airbus A350,565,12,261,54,16,312,0,18,Airbus,A350
Japan Airlines,Japan Airlines,Airbus A350,565,12,261,54,31,312,0,18,Airbus,A350
Philippine Airlines,Philippine Airlines,Airbus A350,565,12,261,54,6,312,0,18,Airbus,A350
SAS Group,Scandinavian Airlines,Airbus A350,565,12,261,54,8,312,0,18,Airbus,A350
United Airlines,United Airlines,Airbus A350,565,12,261,35,137,312,0,18,Airbus,A350
Air China,Air China,Airbus A350 XWB,565,1,261,1,10,312,0,18,Airbus A350,XWB
Air Mauritius,Air Mauritius,Airbus A350 XWB,565,1,261,1,137,419,38425,18,Airbus A350,XWB
American Airlines,American Airlines,Airbus A350 XWB,565,1,261,1,22,312,0,18,Airbus A350,XWB
Azul,Azul,Airbus A350 XWB,565,1,261,1,5,312,0,18,Airbus A350,XWB
Cathay Pacific,Cathay Pacific,Airbus A350 XWB,9,6,261,15,39,312,2808,0.3,Airbus A350,XWB
China Airlines,China Airlines,Airbus A350 XWB,2,4,261,6,12,312,624,0.2,Airbus A350,XWB
Delta Airlines,Delta Airlines,Airbus A350 XWB,565,1,261,1,25,312,0,18,Airbus A350,XWB
Ethiopian Airlines,Ethiopian Airlines,Airbus A350 XWB,2,2,261,4,12,312,624,0.4,Airbus A350,XWB
Etihad Airways,Etihad Airways,Airbus A350 XWB,565,1,261,1,65,312,0,18,Airbus A350,XWB
Finnair,Finnair,Airbus A350 XWB,7,2,261,9,12,312,2184,0.9,Airbus A350,XWB
IAG,Aer Lingus,Airbus A350 XWB,565,1,261,1,9,312,0,18,Airbus A350,XWB
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A350 XWB,6,2,261,8,24,312,1872,0.5,Airbus A350,XWB
Lufthansa,Lufthansa,Airbus A350 XWB,565,6,261,6,25,312,0,18,Airbus A350,XWB
Malaysia Airlines,Malaysia Airlines,Airbus A350 XWB,565,1,261,1,6,312,0,18,Airbus A350,XWB
Qatar Airways,Qatar Airways,Airbus A350 XWB,12,12,261,24,37,312,3744,1.2,Airbus A350,XWB
Singapore Airlines,Singapore Airlines,Airbus A350 XWB,8,6,261,14,61,312,2496,0.4,Airbus A350,XWB
Thai Airways,Thai Airways,Airbus A350 XWB,2,1,261,3,10,312,624,0.3,Airbus A350,XWB
Vietnam Airlines,Vietnam Airlines,Airbus A350 XWB,5,2,261,7,19,312,1560,1.1,Airbus A350,XWB
Air France/KLM,Air France,Airbus A350-900,565,12,261,54,28,308,0,18,Airbus,A350-900
Air France/KLM,Air France,Airbus A380,10,12,261,10,137,433,4326,5.9,Airbus,A380
All Nippon Airways,All Nippon Airways,Airbus A380,565,12,261,54,3,433,0,18,Airbus,A380
Asiana Airlines,Asiana Airlines,Airbus A380,5,1,261,6,1,433,2163,2,Airbus,A380
China Southern Airlines,China Southern Airlines,Airbus A380,5,12,261,5,17,433,2163,5.1,Airbus,A380
Emirates,Emirates,Airbus A380,87,15,261,102,54,433,37636,3.7,Airbus,A380
Etihad Airways,Etihad Airways,Airbus A380,8,1,261,9,2,433,3461,1.7,Airbus,A380
IAG,British Airways,Airbus A380,12,12,261,12,137,433,5191,2.7,Airbus,A380
Korean Air,Korean Air,Airbus A380,10,12,261,10,137,433,4326,4.7,Airbus,A380
Lufthansa,Lufthansa,Airbus A380,14,12,261,14,137,433,6056,5.2,Airbus,A380
Malaysia Airlines,Malaysia Airlines,Airbus A380,6,12,261,6,137,433,2596,4.6,Airbus,A380
Qantas Airways,Qantas Airways,Airbus A380,12,12,261,12,137,433,5191,7.4,Airbus,A380
Qatar Airways,Qatar Airways,Airbus A380,6,3,261,9,4,433,2596,2.6,Airbus,A380
Singapore Airlines,Singapore Airlines,Airbus A380,19,2,261,21,5,433,8219,7.5,Airbus,A380
Thai Airways,Thai Airways,Airbus A380,6,12,261,6,137,433,2596,4.2,Airbus,A380
Aeroflot,Aeroflot,Antonov An-124,565,12,3,3,137,75,0,18,Antonov,An-124
Aeroflot,Rossiya Airlines,Antonov An-124,565,12,2,2,137,75,0,18,Antonov,An-124
Aeroflot,Rossiya Airlines,Antonov An-148/An-158,565,12,6,6,137,28,0,18,Antonov,An-148/An-158
Utair,UTair-Cargo,Antonov An-2,11,12,261,54,137,2,17,18,Antonov,An-2
Utair,Vostok Aviation Company,Antonov An-28,5,12,261,54,137,3,15,18,Antonov,An-28
Utair,Vostok Aviation Company,Antonov An-38,3,12,261,54,137,2,5,18,Antonov,An-38
Utair,UTair-Cargo,Antonov An-74-200,6,12,261,54,137,19,111,18,Antonov,An-74-200
Aegean Airlines,Olympic Air,ATR 42/72,2,12,261,2,137,22,44,2.4,ATR,42/72
Aegean Airlines,Aegean Airlines,ATR 42/72,565,12,6,6,137,22,0,18,ATR,42/72
Air Algerie,Air Algerie,ATR 42/72,15,12,261,15,137,22,332,10.4,ATR,42/72
Air Berlin,Air Berlin,ATR 42/72,565,12,1,1,137,22,0,18,ATR,42/72
Air Europa,Air Europa,ATR 42/72,4,12,6,10,137,22,88,21.9,ATR,42/72
Air France/KLM,HOP!,ATR 42/72,21,12,8,29,137,22,464,14.9,ATR,42/72
Air India,Air India Regional,ATR 42/72,12,12,3,15,18,22,265,8.4,ATR,42/72
Air Mauritius,Air Mauritius,ATR 42/72,3,12,6,9,137,419,38425,9.1,ATR,42/72
Air New Zealand,Air New Zealand Link,ATR 42/72,26,12,8,34,137,22,575,7.8,ATR,42/72
Alitalia,Alitalia,ATR 42/72,565,12,14,14,137,22,0,18,ATR,42/72
American Airlines,American Eagle,ATR 42/72,565,12,70,70,137,22,0,18,ATR,42/72
Avianca,Avianca,ATR 42/72,9,12,261,9,137,22,199,2.8,ATR,42/72
Avianca,Avianca Guatemala,ATR 42/72,4,12,261,4,137,22,88,2.2,ATR,42/72
Avianca,Avianca Honduras,ATR 42/72,2,12,5,7,137,22,44,2.2,ATR,42/72
Azul,Azul,ATR 42/72,40,2,42,84,137,22,884,3.5,ATR,42/72
Cebu Pacific Air,Cebu Pacific Air,ATR 42/72,10,12,1,11,14,22,221,6.4,ATR,42/72
China Southern Airlines,China Southern Airlines,ATR 42/72,565,12,5,5,137,22,0,18,ATR,42/72
EgyptAir,EgyptAir,ATR 42/72,565,12,2,2,137,22,0,18,ATR,42/72
Ethiopian Airlines,Ethiopian Airlines,ATR 42/72,565,12,3,3,137,22,0,18,ATR,42/72
